Имя,Победы,ПобедыБуллит,ПобедыОвер,Поражения,ПораженияБуллит,ПораженияОвер
СКА,119,4,4,65,1,7
ЦСКА,128,4,8,54,0,2
Сибирь,101,4,9,82,1,1
Спартак,100,3,6,84,1,6
Авангард,96,3,7,93,3,8
Динамо Р,75,2,8,116,5,8
Салават Юлаев,98,1,5,84,3,5
Адмирал,85,4,4,98,1,6
Югра,76,6,8,115,0,9
Северсталь,99,2,11,96,5,9
Нефтехимик,102,1,7,81,4,3
Амур,87,0,12,105,7,5
ХК Сочи,93,3,8,95,3,6
Куньлунь РС,81,1,4,105,5,8
Металлург Мг,94,5,6,96,2,9
Автомобилист,103,4,7,87,4,7
Лада,79,1,6,103,3,4
Трактор,94,5,4,92,2,7
Локомотив,102,3,7,82,1,5
Динамо Мн,88,4,3,93,1,5
Йокерит,100,2,5,85,3,7
Слован,64,2,3,118,2,7
ХК Динамо М,93,8,4,100,3,10
Витязь,85,2,5,100,3,7
Барыс,80,0,7,104,4,5
Торпедо,98,2,7,92,6,7
Ак Барс,92,0,3,87,3,5
